Country,Neighbourhood,Government,Scientist,Journalist,Doctor and Nurses,Philantropist,Traditional Healers
Thailand,71.78,58.55,91.08,72.37,96.14,57.8,69
Tunisia,62.81,26.87,80.16,45.91,78.89,53.72,46.59
Turkey,66.67,60.38,83.54,55.7,90.92,61.21,68.57
Uganda,47.01,46.64,63.75,63.17,77.9,64.55,19.68
Ukraine,75.47,29.34,84.69,41.84,67.65,57.08,18.13
United Arab Emirates,70.97,,81.19,68,86.71,84.74,64.93
United Kingdom,88.14,49.65,90.28,60.69,93.27,86.69,37.71
United States,89.7,53.49,93.66,58.78,96.69,88.25,64.67
Uruguay,79.75,74.13,90.99,64.8,93.18,78.82,20.19
Uzbekistan,90.51,97.45,93.34,90.36,93.48,83.08,45.52
Venezuela,61.17,29.6,66.7,53.85,77.46,59.52,27.05
Vietnam,77.74,,76.91,60.07,88.43,79.31,79.53
Zambia,45.3,47.73,51.23,59.81,72.71,62.07,14.17
Zimbabwe,64.96,67.77,73.22,65.99,81.51,83.9,31.66
